YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
分裂样焦虑,-1,-1,-1,-1,-1
,-1,-1,-1,-1,-1
交往不良,-1,-1,-1,-1,-1
强迫,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
社会退缩,-1,-1,-1,-1,-1
多动,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
抑郁,-1,-1,-1,-1,-1
YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
分裂样焦虑,-1,-1,-1,-1,-1
,-1,-1,-1,-1,-1
交往不良,-1,-1,-1,-1,-1
强迫,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
社会退缩,-1,-1,-1,-1,-1
多动,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
抑郁,-1,-1,-1,-1,-1
YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
分裂样焦虑,-1,-1,-1,-1,-1
,-1,-1,-1,-1,-1
交往不良,-1,-1,-1,-1,-1
强迫,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
社会退缩,-1,-1,-1,-1,-1
多动,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
抑郁,-1,-1,-1,-1,-1
